B02,B03,B04,B08,class
1314.0335693359375,1276.04443359375,1360.130615234375,3339.783447265625,PALTO
940.95281982421875,812.277099609375,689.316162109375,3403.342529296875,PALTO
1026.8453369140625,869.720458984375,813.00830078125,1627.3125,VID DE MESA
888.36785888671875,742.57318115234375,460.1953125,3060.12548828125,PALTO
969.2694091796875,782.4439697265625,776.8828125,1644.0523681640625,PALTO
761.00054931640625,551.90863037109375,343.9988708496094,1599.2821044921875,PALTO
1104.1339111328125,881.78802490234375,813.7835693359375,1196.93896484375,NARANJO
913.68975830078125,759.998046875,555.7239990234375,4214.546875,PALTO
915.54541015625,790.0478515625,647.01727294921875,3733.835205078125,PALTO
1047.1483154296875,922.8099365234375,896.38153076171875,2678.873046875,PALTO
1072.8968505859375,906.19012451171875,898.71527099609375,1580.017333984375,VID DE MESA
1114.818115234375,1009.8427734375,996.73516845703125,2651.723876953125,PALTO
926.01708984375,822.00103759765625,639.57275390625,3816.118408203125,PALTO
1052.2017822265625,886.36474609375,765.26348876953125,1748.7216796875,NOGAL
913.4427490234375,721.51123046875,498.06707763671875,3225.96484375,PALTO
992.91558837890625,806.05096435546875,644.3192138671875,1735.8594970703125,NARANJO
1047.3338623046875,829.0426025390625,768.80462646484375,1503.151123046875,VID DE MESA
1015.613525390625,814.51080322265625,919.96826171875,1476.1771240234375,VID DE MESA
863.3255615234375,704.94879150390625,448.7049865722656,3131.79443359375,PALTO
1229.5396728515625,1174.931640625,1294.0555419921875,2003.3638916015625,PALTO
879.81634521484375,679.9339599609375,451.4643859863281,3041.689208984375,PALTO
1116.6842041015625,951.71044921875,1147.96240234375,1780.63525390625,VID DE MESA
959.15985107421875,742.395263671875,652.322021484375,1142.4215087890625,DURAZNERO TIPO CONSERVERO
927.67889404296875,798.2991943359375,520.107421875,2247.037109375,MANDARINO
1112.159423828125,924.85137939453125,1078.72607421875,1599.54443359375,VID DE MESA
1024.1090087890625,938.9349365234375,836.03839111328125,3303.3447265625,PALTO
980.61297607421875,840.87469482421875,641.80615234375,2334.665283203125,PALTO
907.6572265625,797.3448486328125,484.8439636230469,2879.80126953125,MANDARINO
1073.753662109375,936.321044921875,921.57861328125,2851.5732421875,PALTO
1149.0318603515625,979.82025146484375,938.06707763671875,1418.0364990234375,VID DE MESA
1204.181640625,1016.0767822265625,1082.21240234375,1323.850830078125,VID DE MESA
896.052490234375,704.34356689453125,459.29302978515625,3448.08935546875,PALTO
1040.5872802734375,867.8914794921875,778.4154052734375,1618.0693359375,PALTO
1060.1202392578125,889.10980224609375,923.9415283203125,1344.4130859375,DURAZNERO TIPO CONSERVERO
825.40771484375,659.7359619140625,406.71661376953125,3120.748046875,PALTO
955.92510986328125,848.7506103515625,676.20281982421875,3218.18017578125,PALTO
907.4420166015625,757.15960693359375,460.39776611328125,2838.82763671875,PALTO
964.7666015625,828.63702392578125,586.11981201171875,2420.07666015625,PALTO
841.0284423828125,662.20135498046875,463.3812255859375,2525.790771484375,PALTO
873.08270263671875,674.85931396484375,435.0504150390625,3204.917724609375,PALTO
999.59124755859375,837.27508544921875,733.6317138671875,2827.7509765625,PALTO
931.24371337890625,754.58203125,629.52508544921875,2804.513671875,PALTO
1040.998779296875,864.20654296875,761.61761474609375,1716.301513671875,CIRUELO EUROPEO
1100.842041015625,1003.5638427734375,967.98822021484375,2705.751220703125,PALTO
866.95068359375,676.33184814453125,465.32501220703125,2556.86865234375,PALTO
856.4820556640625,605.66748046875,394.3150939941406,1729.6251220703125,PALTO
1096.942626953125,1032.69775390625,1033.1446533203125,3670.274169921875,PALTO
1059.5306396484375,872.737548828125,826.1610107421875,1475.3096923828125,NOGAL
836.41021728515625,670.64483642578125,417.00714111328125,3413.109130859375,PALTO
1035.920166015625,828.0772705078125,928.335693359375,1554.1446533203125,VID DE MESA
998.5416259765625,773.30255126953125,689.35394287109375,1110.183837890625,CIRUELO EUROPEO
1280.8406982421875,1264.3173828125,1474.4395751953125,2134.8447265625,PALTO
945.5970458984375,821.6578369140625,625.8929443359375,4382.0849609375,PALTO
1031.3841552734375,830.604736328125,881.3812255859375,1359.5382080078125,DURAZNERO TIPO CONSERVERO
1058.6829833984375,872.0390625,914.456298828125,1467.719482421875,DURAZNERO TIPO CONSERVERO
1064.531005859375,910.4779052734375,1032.22705078125,1673.677490234375,VID DE MESA
896.8587646484375,755.82763671875,464.4383544921875,2877.200927734375,PALTO
1057.992919921875,868.1676025390625,885.42547607421875,1455.62255859375,VID DE MESA
875.1678466796875,696.8255615234375,445.0299377441406,3153.197509765625,PALTO
926.0762939453125,752.32366943359375,516.99237060546875,1911.3397216796875,PALTO
1043.9237060546875,847.74005126953125,957.00457763671875,1562.22265625,VID DE MESA
1067.4534912109375,913.44140625,945.28619384765625,1364.09326171875,DURAZNERO TIPO CONSERVERO
1080.8570556640625,903.43280029296875,915.5396728515625,1485.2171630859375,DURAZNERO TIPO CONSERVERO
813.3389892578125,647.8538818359375,418.991943359375,2886.858154296875,PALTO
953.3228759765625,805.298828125,661.11724853515625,2012.9498291015625,PALTO
1016.7001342773438,858.29034423828125,728.66705322265625,1883.6083984375,PALTO
920.8358154296875,759.17559814453125,460.63250732421875,2266.153564453125,MANDARINO
1167.180419921875,1022.72314453125,1172.9234619140625,1694.9781494140625,VID DE MESA
1499.1953125,1515.17333984375,1661.121337890625,2369.330078125,PALTO
845.209716796875,603.0875244140625,386.750732421875,1589.6064453125,PALTO
1241.421142578125,1180.7049560546875,1173.8240966796875,2818.745361328125,PALTO
1091.7362060546875,978.69012451171875,1041.510009765625,3135.562255859375,PALTO
1063.11181640625,939.46600341796875,908.5433349609375,3448.42578125,PALTO
951.26190185546875,825.85400390625,639.25128173828125,2506.82080078125,PALTO
1061.732666015625,867.96044921875,942.8065185546875,1618.253173828125,PALTO
875.65447998046875,699.92974853515625,449.2357177734375,3232.8857421875,PALTO
1090.032470703125,945.1187744140625,816.79693603515625,2117.48779296875,VID DE MESA
914.8756103515625,737.7574462890625,541.0166015625,3307.466064453125,PALTO
1059.3221435546875,858.86114501953125,926.9014892578125,1542.1468505859375,VID DE MESA
1013.07275390625,880.147705078125,767.16546630859375,2749.26416015625,MANDARINO
1066.19384765625,883.55029296875,976.82855224609375,1611.3477783203125,DURAZNERO TIPO CONSERVERO
1079.68505859375,895.08721923828125,1028.90478515625,1494.885009765625,VID DE MESA
852.33990478515625,668.03143310546875,454.96099853515625,2601.102294921875,PALTO
843.62750244140625,661.82000732421875,488.40338134765625,2545.528564453125,PALTO
1019.71337890625,835.05596923828125,790.2657470703125,1468.0181884765625,VID DE MESA
1053.4813232421875,885.56298828125,900.4505615234375,1501.9266357421875,DURAZNERO TIPO CONSERVERO
1096.3724365234375,885.69580078125,936.6427001953125,1420.8076171875,VID DE MESA
811.169189453125,575.299072265625,339.998291015625,1588.4508056640625,PALTO
851.5653076171875,694.83941650390625,455.7378845214844,3416.528564453125,PALTO
902.51165771484375,787.56549072265625,610.26519775390625,4330.3193359375,PALTO
