"GRANULE_ID","PRODUCT_ID","DATATAKE_IDENTIFIER","MGRS_TILE","SENSING_TIME","TOTAL_SIZE","CLOUD_COVER","GEOMETRIC_QUALITY_FLAG","GENERATION_TIME","NORTH_LAT","SOUTH_LAT","WEST_LON","EAST_LON","BASE_URL","tile","tile2","sens_date"
"L1C_T19HCD_A030252_20221221T143703","S2B_MSIL1C_20221221T142709_N0509_R053_T19HCD_20221221T173114","GS2B_20221221T142709_030252_N05.09","19HCD","2022-12-21T14:42:08.600000Z",203556614,0,"","2022-12-21T17:31:14.000000Z",-32.5328070187762,-33.5238865160754,-70.3637733715388,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2B_MSIL1C_20221221T142709_N0509_R053_T19HCD_20221221T173114.SAFE","19H","19",2022-12-21
"L1C_T19HDD_A026791_20200808T143750","S2A_MSIL1C_20200808T142741_N0209_R053_T19HDD_20200808T180057","GS2A_20200808T142741_026791_N02.09","19HDD","2020-08-08T14:42:11.234000Z",915756618,34.3445,"","2020-08-08T18:00:57.000000Z",-32.5327961921816,-33.5276526478463,-70.0773934106369,-68.894998375167,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20200808T142741_N0209_R053_T19HDD_20200808T180057.SAFE","19H","19",2020-08-08
"L1C_T19HDD_A038660_20221116T144028","S2A_MSIL1C_20221116T142711_N0400_R053_T19HDD_20221116T174835","GS2A_20221116T142711_038660_N04.00","19HDD","2022-11-16T14:42:07.370000Z",866672376,0.420535136935261,"","2022-11-16T17:48:35.000000Z",-32.5328498989939,-33.5276526478463,-70.0773934106369,-68.894998375167,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20221116T142711_N0400_R053_T19HDD_20221116T174835.SAFE","19H","19",2022-11-16
"L1C_T19HCD_A039018_20240825T144713","S2B_MSIL1C_20240825T143749_N0511_R096_T19HCD_20240825T175837","GS2B_20240825T143749_039018_N05.11","19HCD","2024-08-25T14:52:05.372000Z",899620071,3.00988384245573,"","2024-08-25T17:58:37.000000Z",-32.5192377034457,-33.5238865160754,-71.1533199895989,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2B_MSIL1C_20240825T143749_N0511_R096_T19HCD_20240825T175837.SAFE","19H","19",2024-08-25
"L1C_T19HDD_A013993_20191110T144457","S2B_MSIL1C_20191110T143729_N0208_R096_T19HDD_20191110T180023","GS2B_20191110T143729_013993_N02.08","19HDD","2019-11-10T14:52:00.612000Z",521480472,69.538,"","2019-11-10T18:00:23.000000Z",-32.5327530693199,-33.5262935124611,-70.0773934106369,-69.3202308375029,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20191110T143729_N0208_R096_T19HDD_20191110T180023.SAFE","19H","19",2019-11-10
"L1C_T19HBD_A029451_20210210T145543","S2A_MSIL1C_20210210T144731_N0209_R139_T19HBD_20210210T182216","GS2A_20210210T144731_029451_N02.09","19HBD","2021-02-10T15:02:01.265000Z",158776910,99.9753,"","2021-02-10T18:22:16.000000Z",-32.4967235507116,-33.4889491731511,-72.228898800549,-71.8371484830508,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2A_MSIL1C_20210210T144731_N0209_R139_T19HBD_20210210T182216.SAFE","19H","19",2021-02-10
"L1C_T19HCD_A036301_20240217T144515","S2B_MSIL1C_20240217T143749_N0510_R096_T19HCD_20240217T175923","GS2B_20240217T143749_036301_N05.10","19HCD","2024-02-17T14:52:05.693000Z",857128708,0,"","2024-02-17T17:59:23.000000Z",-32.5192377034457,-33.5238865160754,-71.1533199895989,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2B_MSIL1C_20240217T143749_N0510_R096_T19HCD_20240217T175923.SAFE","19H","19",2024-02-17
"L1C_T19HDD_A005241_20160623T145126","S2A_MSIL1C_20160623T145132_N0204_R096_T19HDD_20160623T145126","GS2A_20160623T145132_005241_N02.04","19HDD","2016-06-23T14:51:26.460000Z",346660751,100,"PASSED","2016-06-23T14:51:26.000000Z",-32.5327530693199,-33.5263680135116,-70.0773934106369,-69.3074515741065,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20160623T145132_N0204_R096_T19HDD_20160623T145126.SAFE","19H","19",2016-06-23
"L1C_T19HDD_A036444_20240227T144248","S2B_MSIL1C_20240227T143739_N0510_R096_T19HDD_20240227T175650","GS2B_20240227T143739_036444_N05.10","19HDD","2024-02-27T14:52:00.001000Z",489855347,0.445055195259969,"","2024-02-27T17:56:50.000000Z",-32.5327530693199,-33.526265347555,-70.0773934106369,-69.3259820337439,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20240227T143739_N0510_R096_T19HDD_20240227T175650.SAFE","19H","19",2024-02-27
"L1C_T19HCD_A005198_20160620T143728","S2A_MSIL1C_20160620T142752_N0204_R053_T19HCD_20160620T143728","GS2A_20160620T142752_005198_N02.04","19HCD","2016-06-20T14:37:28.090000Z",211321639,51.8675,"PASSED","2016-06-20T14:37:28.000000Z",-32.5329484303734,-33.5238865160754,-70.3477315313878,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2A_MSIL1C_20160620T142752_N0204_R053_T19HCD_20160620T143728.SAFE","19H","19",2016-06-20
